Record_No,PMID,Title,Authors,Citation,First_Author,Journal_or_Book,Publication_Year,Create_Date,PMCID,DOI
858,37456877,Varying intensities of chronic stress induce inconsistent responses in weight and plasma metabolites in house sparrows (Passer domesticus),"Beattie UK, Fefferman N, Romero LM.",PeerJ. 2023 Jul 10;11:e15661. doi: 10.7717/peerj.15661. eCollection 2023.,Beattie UK,PeerJ,2023,2023-07-17,PMC10340100,10.7717/peerj.15661
859,38260814,"Advancing athletic assessment by integrating conventional methods with cutting-edge biomedical technologies for comprehensive performance, wellness, and longevity insights","Spanakis M, Fragkiadaki P, Renieri E, Vakonaki E, Fragkiadoulaki I, Alegakis A, Kiriakakis M, Panagiotou N, Ntoumou E, Gratsias I, Zoubaneas E, Morozova GD, Ovchinnikova MA, Tsitsimpikou C, Tsarouhas K, Drakoulis N, Skalny AV, Tsatsakis A.",Front Sports Act Living. 2024 Jan 8;5:1327792. doi: 10.3389/fspor.2023.1327792. eCollection 2023.,Spanakis M,Front Sports Act Living,2024,2024-01-23,PMC10801261,10.3389/fspor.2023.1327792
860,9132617,[Role of the cytokine network in the CNS and psychiatric disorders],Müller N.,Nervenarzt. 1997 Jan;68(1):11-20. doi: 10.1007/s001150050092.,Müller N,Nervenarzt,1997,1997-01-01,,10.1007/s001150050092
861,17148736,The hypothalamic-pituitary-adrenal axis activity in obesity and the metabolic syndrome,"Pasquali R, Vicennati V, Cacciari M, Pagotto U.",Ann N Y Acad Sci. 2006 Nov;1083:111-28. doi: 10.1196/annals.1367.009.,Pasquali R,Ann N Y Acad Sci,2006,2006-12-07,,10.1196/annals.1367.009
862,39085133,Evaluation of the stress state based on fecal corticosterone metabolite concentrations in captive penguins in Japan,"Itoh M, Kitahara M, Sawayama N, Matsumoto N, Toyotome T, Yamada K.",J Vet Med Sci. 2024 Sep 10;86(9):992-998. doi: 10.1292/jvms.24-0112. Epub 2024 Aug 1.,Itoh M,J Vet Med Sci,2024,2024-07-31,PMC11422689,10.1292/jvms.24-0112
863,11251318,Differential stress coping in wild and domesticated sea trout,"Lepage O, Overli O, Petersson E, Järvi T, Winberg S.",Brain Behav Evol. 2000 Nov;56(5):259-68. doi: 10.1159/000047209.,Lepage O,Brain Behav Evol,2000,2001-03-17,,10.1159/000047209
864,29628193,"Metabolism, Metabolomics, and Inflammation in Posttraumatic Stress Disorder","Mellon SH, Gautam A, Hammamieh R, Jett M, Wolkowitz OM.",Biol Psychiatry. 2018 May 15;83(10):866-875. doi: 10.1016/j.biopsych.2018.02.007. Epub 2018 Feb 22.,Mellon SH,Biol Psychiatry,2018,2018-04-10,,10.1016/j.biopsych.2018.02.007
865,29794260,Spectroscopic differences in posterior insula in patients with chronic temporomandibular pain,"Harfeldt K, Alexander L, Lam J, Månsson S, Westergren H, Svensson P, Sundgren PC, Alstergren P.",Scand J Pain. 2018 Jul 26;18(3):351-361. doi: 10.1515/sjpain-2017-0159.,Harfeldt K,Scand J Pain,2018,2018-05-26,,10.1515/sjpain-2017-0159
866,36841068,Daphnia magna sub-lethal exposure to phthalate pollutants elicits disruptions in amino acid and energy metabolism,"Oliveira Pereira EA, Labine LM, Kleywegt S, Jobst KJ, Simpson AJ, Simpson MJ.",Aquat Toxicol. 2023 Apr;257:106432. doi: 10.1016/j.aquatox.2023.106432. Epub 2023 Feb 23.,Oliveira Pereira EA,Aquat Toxicol,2023,2023-02-25,,10.1016/j.aquatox.2023.106432
867,9192217,"Neurotoxicity of long-term low-level exposure to carbon disulphide: results of questionnaire, clinical neurological examination and neuropsychological testing","Reinhardt F, Drexler H, Bickel A, Claus D, Angerer J, Ulm K, Lehnert G, Neundörfer B.",Int Arch Occup Environ Health. 1997;69(5):332-8. doi: 10.1007/s004200050156.,Reinhardt F,Int Arch Occup Environ Health,1997,1997-01-01,,10.1007/s004200050156
868,11895114,Brief and repeated noise exposure produces different morphological and biochemical effects in noradrenaline and adrenaline cells of adrenal medulla,"Gesi M, Lenzi P, Alessandri MG, Ferrucci M, Fornai F, Paparelli A.",J Anat. 2002 Feb;200(Pt 2):159-68. doi: 10.1046/j.0021-8782.2001.00014.x.,Gesi M,J Anat,2002,2002-03-16,PMC1570642,10.1046/j.0021-8782.2001.00014.x
869,33249139,Metabolomics in posttraumatic stress disorder: Untargeted metabolomic analysis of plasma samples from Croatian war veterans,"Konjevod M, Nedic Erjavec G, Nikolac Perkovic M, Sáiz J, Tudor L, Uzun S, Kozumplik O, Svob Strac D, Zarkovic N, Pivac N.",Free Radic Biol Med. 2021 Jan;162:636-641. doi: 10.1016/j.freeradbiomed.2020.11.024. Epub 2020 Nov 27.,Konjevod M,Free Radic Biol Med,2021,2020-11-29,,10.1016/j.freeradbiomed.2020.11.024
870,32786855,Serum Metabonomic Study on the Antidepressant-like Effects of Ellagic Acid in a Chronic Unpredictable Mild Stress-Induced Mouse Model,"Huang X, Li W, You B, Tang W, Gan T, Feng C, Li C, Yang R.",J Agric Food Chem. 2020 Sep 2;68(35):9546-9556. doi: 10.1021/acs.jafc.0c02895. Epub 2020 Aug 21.,Huang X,J Agric Food Chem,2020,2020-08-14,,10.1021/acs.jafc.0c02895
871,27293648,A review of factors influencing the stress response in Australian marsupials,"Hing S, Narayan E, Thompson RC, Godfrey S.",Conserv Physiol. 2014 Jul 23;2(1):cou027. doi: 10.1093/conphys/cou027. eCollection 2014.,Hing S,Conserv Physiol,2014,2016-06-14,PMC4732483,10.1093/conphys/cou027
872,16375889,"Gaultherin, a natural salicylate derivative from Gaultheria yunnanensis: towards a better non-steroidal anti-inflammatory drug","Zhang B, He XL, Ding Y, Du GH.",Eur J Pharmacol. 2006 Jan 13;530(1-2):166-71. doi: 10.1016/j.ejphar.2005.11.030. Epub 2005 Dec 22.,Zhang B,Eur J Pharmacol,2006,2005-12-27,,10.1016/j.ejphar.2005.11.030
873,31699313,Gut microbiota mediated allostasis prevents stress-induced neuroinflammatory risk factors of Alzheimer's disease,"Westfall S, Iqbal U, Sebastian M, Pasinetti GM.",Prog Mol Biol Transl Sci. 2019;168:147-181. doi: 10.1016/bs.pmbts.2019.06.013. Epub 2019 Jul 4.,Westfall S,Prog Mol Biol Transl Sci,2019,2019-11-09,,10.1016/bs.pmbts.2019.06.013
874,38437637,Stressing Out Cancer: Chronic Stress Induces Dysbiosis and Enhances Colon Cancer Growth,"McCollum SE, Shah YM.",Cancer Res. 2024 Mar 4;84(5):645-647. doi: 10.1158/0008-5472.CAN-23-3871.,McCollum SE,Cancer Res,2024,2024-03-04,PMC12176054,10.1158/0008-5472.CAN-23-3871
875,23376434,"Post-slaughter changes in ATP metabolites, reducing and phosphorylated sugars in chicken meat","Aliani M, Farmer LJ, Kennedy JT, Moss BW, Gordon A.",Meat Sci. 2013 May;94(1):55-62. doi: 10.1016/j.meatsci.2012.11.032. Epub 2012 Nov 19.,Aliani M,Meat Sci,2013,2013-02-05,,10.1016/j.meatsci.2012.11.032
876,22975930,An investigation of the antidepressant action of xiaoyaosan in rats using ultra performance liquid chromatography-mass spectrometry combined with metabonomics,"Gao XX, Cui J, Zheng XY, Li ZY, Choi YH, Zhou YZ, Tian JS, Xing J, Tan XJ, Du GH, Qin XM.",Phytother Res. 2013 Jul;27(7):1074-85. doi: 10.1002/ptr.4805. Epub 2012 Sep 13.,Gao XX,Phytother Res,2013,2012-09-15,,10.1002/ptr.4805
877,31483790,Individual and environmental risk factors associated with fecal glucocorticoid metabolite concentrations in zoo-housed Asian and African elephants,"Brown JL, Carlstead K, Bray JD, Dickey D, Farin C, Ange-van Heugten K.",PLoS One. 2019 Sep 4;14(9):e0217326. doi: 10.1371/journal.pone.0217326. eCollection 2019.,Brown JL,PLoS One,2019,2019-09-05,PMC6726191,10.1371/journal.pone.0217326
878,15664022,Enhanced yolk testosterone influences behavioral phenotype independent of sex in Japanese quail chicks Coturnix japonica,"Niall Daisley J, Bromundt V, Möstl E, Kotrschal K.",Horm Behav. 2005 Feb;47(2):185-94. doi: 10.1016/j.yhbeh.2004.09.006. Epub 2004 Dec 15.,Niall Daisley J,Horm Behav,2005,2005-01-25,,10.1016/j.yhbeh.2004.09.006
879,36287884,The Effects of Single and Combined Stressors on Daphnids-Enzyme Markers of Physiology and Metabolomics Validate the Impact of Pollution,"Michalaki A, McGivern AR, Poschet G, Büttner M, Altenburger R, Grintzalis K.",Toxics. 2022 Oct 12;10(10):604. doi: 10.3390/toxics10100604.,Michalaki A,Toxics,2022,2022-10-26,PMC9609890,10.3390/toxics10100604
880,30963902,Stress behaviour and physiology of developing Arctic barnacle goslings ( Branta leucopsis) is affected by legacy trace contaminants,"Scheiber IBR, Weiß BM, de Jong ME, Braun A, van den Brink NW, Loonen MJJE, Millesi E, Komdeur J.",Proc Biol Sci. 2018 Dec 19;285(1893):20181866. doi: 10.1098/rspb.2018.1866.,Scheiber IBR,Proc Biol Sci,2018,2019-04-10,PMC6304058,10.1098/rspb.2018.1866
881,26020308,Stress assessment in captive greylag geese (Anser anser),"Scheiber IB, Sterenborg M, Komdeur J.",J Anim Sci. 2015 May;93(5):2124-33. doi: 10.2527/jas.2014-8523.,Scheiber IB,J Anim Sci,2015,2015-05-29,,10.2527/jas.2014-8523
882,31687147,"Non-invasive monitoring of adrenocortical physiology in a threatened Australian marsupial, the western quoll (Dasyurus geoffroii)","Jensen MA, Moseby KE, Paton DC, Fanson KV.",Conserv Physiol. 2019 Oct 31;7(1):coz069. doi: 10.1093/conphys/coz069. eCollection 2019.,Jensen MA,Conserv Physiol,2019,2019-11-06,PMC6822536,10.1093/conphys/coz069
883,24908399,Physiological response to etho-ecological stressors in male Alpine chamois: timescale matters!,"Corlatti L, Palme R, Lovari S.",Naturwissenschaften. 2014 Jul;101(7):577-86. doi: 10.1007/s00114-014-1195-x. Epub 2014 Jun 8.,Corlatti L,Naturwissenschaften,2014,2014-06-09,,10.1007/s00114-014-1195-x
884,25688636,Programming the brain and behaviour by early-life stress: a focus on neuroactive steroids,Brunton PJ.,J Neuroendocrinol. 2015 Jun;27(6):468-80. doi: 10.1111/jne.12265.,Brunton PJ,J Neuroendocrinol,2015,2015-02-18,,10.1111/jne.12265
885,35493307,"Sansoninto attenuates aggressive behavior and increases levels of homovanillic acid, a dopamine metabolite, in social isolation-reared mice","Watanabe T, Iba H, Moriyama H, Kubota K, Katsurabayashi S, Iwasaki K.",J Tradit Complement Med. 2021 Aug 10;12(3):243-249. doi: 10.1016/j.jtcme.2021.08.006. eCollection 2022 May.,Watanabe T,J Tradit Complement Med,2021,2022-05-02,PMC9039115,10.1016/j.jtcme.2021.08.006
886,37967778,Total alditols from Cistanche deserticola attenuate functional constipation by regulating bile acid metabolism,"Yin H, Gao X, Yang H, Xu Z, Wang X, Wang X, Gao Y, Shi Z, Chen X, Cao L, Zhang C, Wang Z, Hu H, Xiao W.",J Ethnopharmacol. 2024 Feb 10;320:117420. doi: 10.1016/j.jep.2023.117420. Epub 2023 Nov 13.,Yin H,J Ethnopharmacol,2024,2023-11-15,,10.1016/j.jep.2023.117420
887,39275313,Revealing Interactions of Gut Microbiota and Metabolite in Confined Environments Using High-Throughput Sequencing and Metabolomic Analysis,"Wang Z, Xu H, Song X, Chen Z, Wang G, Yang Y, Zhu B, Ai L, Liu C, Zhang Y, Yang Y, Wang C, Xia Y.",Nutrients. 2024 Sep 5;16(17):2998. doi: 10.3390/nu16172998.,Wang Z,Nutrients,2024,2024-09-14,PMC11397237,10.3390/nu16172998
888,28852509,A right whale pootree: classification trees of faecal hormones identify reproductive states in North Atlantic right whales (Eubalaena glacialis),"Corkeron P, Rolland RM, Hunt KE, Kraus SD.",Conserv Physiol. 2017 Mar 9;5(1):cox006. doi: 10.1093/conphys/cox006. eCollection 2017.,Corkeron P,Conserv Physiol,2017,2017-08-31,PMC5570057,10.1093/conphys/cox006
889,15158127,Noninvasive monitoring of adrenocortical activity in carnivores by fecal glucocorticoid analyses,"Young KM, Walker SL, Lanthier C, Waddell WT, Monfort SL, Brown JL.",Gen Comp Endocrinol. 2004 Jun;137(2):148-65. doi: 10.1016/j.ygcen.2004.02.016.,Young KM,Gen Comp Endocrinol,2004,2004-05-26,,10.1016/j.ygcen.2004.02.016
890,27876634,Individual and interactive sex-specific effects of acute restraint and systemic IFN-γ treatment on neurochemistry,"Litteljohn D, Rudyk C, Razmjou S, Dwyer Z, Syed S, Hayley S.",Neurochem Int. 2017 Jan;102:95-104. doi: 10.1016/j.neuint.2016.11.005. Epub 2016 Nov 19.,Litteljohn D,Neurochem Int,2017,2016-11-24,,10.1016/j.neuint.2016.11.005
891,18092912,Comparative approaches to the investigation of responses to stress and viral infection in cattle,"Aich P, Jalal S, Czuba C, Schatte G, Herzog K, Olson DJ, Ross AR, Potter AA, Babiuk LA, Griebel P.",OMICS. 2007 Winter;11(4):413-34. doi: 10.1089/omi.2007.0023.,Aich P,OMICS,2007,2007-12-21,,10.1089/omi.2007.0023
892,37429932,Metabolic profiles of saliva in male mouse models of chronic sleep disorders induced by psychophysiological stress,"Oishi K, Yajima Y, Yoshida Y, Hagihara H, Miyakawa T, Higo-Yamamoto S, Toyoda A.",Sci Rep. 2023 Jul 10;13(1):11156. doi: 10.1038/s41598-023-38289-1.,Oishi K,Sci Rep,2023,2023-07-10,PMC10333369,10.1038/s41598-023-38289-1
893,24445306,Oxylipin diversity in the diatom family Leptocylindraceae reveals DHA derivatives in marine diatoms,"Nanjappa D, d'Ippolito G, Gallo C, Zingone A, Fontana A.",Mar Drugs. 2014 Jan 17;12(1):368-84. doi: 10.3390/md12010368.,Nanjappa D,Mar Drugs,2014,2014-01-22,PMC3917278,10.3390/md12010368
894,17092818,"Sphingolipid metabolism, apoptosis and resistance to cytotoxic agents: can we interfere?","Rizzieri KE, Hannun YA.",Drug Resist Updat. 1998;1(6):359-76. doi: 10.1016/s1368-7646(98)80012-5.,Rizzieri KE,Drug Resist Updat,1998,2006-11-10,,10.1016/s1368-7646(98)80012-5
895,31119676,Metabolomic Applications in Radiation Biodosimetry,Laiakis EC.,Methods Mol Biol. 2019;1978:391-402. doi: 10.1007/978-1-4939-9236-2_24.,Laiakis EC,Methods Mol Biol,2019,2019-05-24,,10.1007/978-1-4939-9236-2_24
896,29625656,"Roles of phospholipid methyltransferases in pycnidia development, stress tolerance and secondary metabolism in the taxol-producing fungus Pestalotiopsis microspore","Akhberdi O, Zhang Q, Wang H, Li Y, Chen L, Wang D, Yu X, Wei D, Zhu X.",Microbiol Res. 2018 May;210:33-42. doi: 10.1016/j.micres.2018.03.001. Epub 2018 Mar 8.,Akhberdi O,Microbiol Res,2018,2018-04-08,,10.1016/j.micres.2018.03.001
897,18821421,Role of exhaled breath biomarkers in environmental health science,Pleil JD.,J Toxicol Environ Health B Crit Rev. 2008 Oct;11(8):613-29. doi: 10.1080/10937400701724329.,Pleil JD,J Toxicol Environ Health B Crit Rev,2008,2008-09-30,,10.1080/10937400701724329
898,39293757,Prenatal exposure to phthalates and childhood wheeze and asthma in the PROGRESS cohort,"Alcala CS, Lamadrid-Figueroa H, Tamayo-Ortiz M, Mercado-Garcia A, Midya V, Just AC, Foppa-Pedretti N, Colicino E, Téllez-Rojo MM, Wright RO, Wright RJ, Carroll KN, Rosa MJ.",Sci Total Environ. 2024 Dec 1;954:176311. doi: 10.1016/j.scitotenv.2024.176311. Epub 2024 Sep 16.,Alcala CS,Sci Total Environ,2024,2024-09-18,PMC11567787,10.1016/j.scitotenv.2024.176311
899,31613407,Vitamin A deficiency impairs contextual fear memory in rats: Abnormalities in the glucocorticoid pathway,"Bonhomme D, Alfos S, Webster SP, Wolff M, Pallet V, Touyarot K.",J Neuroendocrinol. 2019 Nov;31(11):e12802. doi: 10.1111/jne.12802. Epub 2019 Nov 13.,Bonhomme D,J Neuroendocrinol,2019,2019-10-16,,10.1111/jne.12802
900,39089569,L-Cysteine: A promising nutritional supplement for alleviating anxiety disorders,"Liu RX, Song DK, Zhang YY, Gong HX, Jin YC, Wang XS, Jiang YL, Yan YX, Lu BN, Wu YM, Wang M, Li XB, Zhang K, Liu SB.",Neuroscience. 2024 Sep 13;555:213-221. doi: 10.1016/j.neuroscience.2024.07.038. Epub 2024 Jul 31.,Liu RX,Neuroscience,2024,2024-08-01,,10.1016/j.neuroscience.2024.07.038
901,19017122,Global change effects on plant chemical defenses against insect herbivores,"Bidart-Bouzat MG, Imeh-Nathaniel A.",J Integr Plant Biol. 2008 Nov;50(11):1339-54. doi: 10.1111/j.1744-7909.2008.00751.x.,Bidart-Bouzat MG,J Integr Plant Biol,2008,2008-11-20,,10.1111/j.1744-7909.2008.00751.x
902,14666258,Effect of the establishment of dominance relationships on cortisol and other metabolic parameters in Nile tilapia (Oreochromis niloticus),"Corrêa SA, Fernandes MO, Iseki KK, Negrão JA.",Braz J Med Biol Res. 2003 Dec;36(12):1725-31. doi: 10.1590/s0100-879x2003001200015. Epub 2003 Nov 17.,Corrêa SA,Braz J Med Biol Res,2003,2003-12-11,,10.1590/s0100-879x2003001200015
903,35562542,Acquisition of threat responses are associated with elevated plasma concentration of endocannabinoids in male humans,"Weisser S, Mueller M, Rauh J, Esser R, Fuss J, Lutz B, Haaker J.",Neuropsychopharmacology. 2022 Oct;47(11):1931-1938. doi: 10.1038/s41386-022-01320-6. Epub 2022 May 13.,Weisser S,Neuropsychopharmacology,2022,2022-05-13,PMC9485143,10.1038/s41386-022-01320-6
904,29958413,Assessment of Commercially Available Immunoassays to Measure Glucocorticoid Metabolites in African Grey Parrot (Psittacus Erithacus) Droppings: A Ready Tool for Non-Invasive Monitoring of Stress,"Bienboire-Frosini C, Alnot-Perronin M, Chabaud C, Asproni P, Lafont-Lecuelle C, Cozzi A, Pageat P.",Animals (Basel). 2018 Jun 28;8(7):105. doi: 10.3390/ani8070105.,Bienboire-Frosini C,Animals (Basel),2018,2018-07-01,PMC6071241,10.3390/ani8070105
905,24637886,"Gender, season and management affect fecal glucocorticoid metabolite concentrations in captive goral (Naemorhedus griseus) in Thailand","Khonmee J, Brown JL, Rojanasthien S, Aunsusin A, Thumasanukul D, Kongphoemphun A, Siriaroonrat B, Tipkantha W, Punyapornwithaya V, Thitaram C.",PLoS One. 2014 Mar 17;9(3):e91633. doi: 10.1371/journal.pone.0091633. eCollection 2014.,Khonmee J,PLoS One,2014,2014-03-19,PMC3956719,10.1371/journal.pone.0091633
906,36291497,The Joint Effect of Perceived Psychosocial Stress and Phthalate Exposure on Hormonal Concentrations during the Early Stage of Pregnancy: A Cross-Sectional Study,"Hlisníková H, Nagyová M, Kolena B, Mlynček M, Trnovec T, Petrovičová I.",Children (Basel). 2022 Oct 15;9(10):1561. doi: 10.3390/children9101561.,Hlisníková H,Children (Basel),2022,2022-10-27,PMC9601203,10.3390/children9101561
907,17575190,The effect of feed withdrawal and crating density in transit on metabolism and meat quality of broilers at slaughter weight,"Delezie E, Swennen Q, Buyse J, Decuypere E.",Poult Sci. 2007 Jul;86(7):1414-23. doi: 10.1093/ps/86.7.1414.,Delezie E,Poult Sci,2007,2007-06-19,,10.1093/ps/86.7.1414
908,30971326,"Clinical, Physiologic, and Behavioral Evaluation of Permanently Catheterized NMRI Mice","Falkenberg MK, Teilmann AC, Henriksen T, Hau J, Poulsen HE, Abelson KS.",J Am Assoc Lab Anim Sci. 2019 May 1;58(3):380-389. doi: 10.30802/AALAS-JAALAS-18-000060. Epub 2019 Apr 10.,Falkenberg MK,J Am Assoc Lab Anim Sci,2019,2019-04-12,PMC6526486,10.30802/AALAS-JAALAS-18-000060
909,33994977,Early Life Stress and the Fate of Kynurenine Pathway Metabolites,"Coplan JD, George R, Syed SA, Rozenboym AV, Tang JE, Fulton SL, Perera TD.",Front Hum Neurosci. 2021 Apr 29;15:636144. doi: 10.3389/fnhum.2021.636144. eCollection 2021.,Coplan JD,Front Hum Neurosci,2021,2021-05-17,PMC8117097,10.3389/fnhum.2021.636144
910,18443799,Effects of corticosteroids on oxidative damage and circulating carotenoids in captive adult kestrels (Falco tinnunculus),"Costantini D, Fanfani A, Dell'omo G.",J Comp Physiol B. 2008 Sep;178(7):829-35. doi: 10.1007/s00360-008-0270-z. Epub 2008 Apr 29.,Costantini D,J Comp Physiol B,2008,2008-04-30,,10.1007/s00360-008-0270-z
911,33611208,Chronic pesticide exposure elicits a subtle carry-over effect on the metabolome of Aurelia coerulea ephyrae,"Olguín-Jacobson C, Pitt KA, Carroll AR, Melvin SD.",Environ Pollut. 2021 Apr 15;275:116641. doi: 10.1016/j.envpol.2021.116641. Epub 2021 Feb 3.,Olguín-Jacobson C,Environ Pollut,2021,2021-02-21,,10.1016/j.envpol.2021.116641
912,27293667,Stress physiology of migrant birds during stopover in natural and anthropogenic woodland habitats of the Northern Prairie region,"Liu M, Swanson DL.",Conserv Physiol. 2014 Oct 11;2(1):cou046. doi: 10.1093/conphys/cou046. eCollection 2014.,Liu M,Conserv Physiol,2014,2016-06-14,PMC4806743,10.1093/conphys/cou046
913,30902723,The impact of holding stressors on the immune function and haemolymph biochemistry of Southern Rock Lobsters (Jasus edwardsii),"Day RD, Fitzgibbon QP, Gardner C.",Fish Shellfish Immunol. 2019 Jun;89:660-671. doi: 10.1016/j.fsi.2019.03.043. Epub 2019 Mar 20.,Day RD,Fish Shellfish Immunol,2019,2019-03-24,,10.1016/j.fsi.2019.03.043
914,34554596,Responsiveness of fecal immunoglobulin A to HPA-axis activation limits its use for mucosal immunity assessment,"Behringer V, Müller-Klein N, Strube C, Schülke O, Heistermann M, Ostner J.",Am J Primatol. 2021 Dec;83(12):e23329. doi: 10.1002/ajp.23329. Epub 2021 Sep 23.,Behringer V,Am J Primatol,2021,2021-09-23,,10.1002/ajp.23329
915,20606851,Fatigue in cancer: a review of literature,"Narayanan V, Koshy C.",Indian J Palliat Care. 2009 Jan;15(1):19-25. doi: 10.4103/0973-1075.53507.,Narayanan V,Indian J Palliat Care,2009,2010-07-08,PMC2886215,10.4103/0973-1075.53507
916,21237957,UV-B as an environmental factor in plant life: stress and regulation,"Rozema J, van de Staaij J, Björn LO, Caldwell M.",Trends Ecol Evol. 1997 Jan;12(1):22-8. doi: 10.1016/s0169-5347(96)10062-8.,Rozema J,Trends Ecol Evol,1997,2011-01-18,,10.1016/s0169-5347(96)10062-8
917,26507319,Single- versus Multiple-Pest Infestation Affects Differently the Biochemistry of Tomato (Solanum lycopersicum 'Ailsa Craig'),"Errard A, Ulrichs C, Kühne S, Mewis I, Drungowski M, Schreiner M, Baldermann S.",J Agric Food Chem. 2015 Nov 25;63(46):10103-11. doi: 10.1021/acs.jafc.5b03884. Epub 2015 Nov 11.,Errard A,J Agric Food Chem,2015,2015-10-29,,10.1021/acs.jafc.5b03884
918,38701755,Microbial metabolite steers intestinal stem cell fate under stress,"Zhu S, Pan W.",Cell Stem Cell. 2024 May 2;31(5):591-592. doi: 10.1016/j.stem.2024.04.006.,Zhu S,Cell Stem Cell,2024,2024-05-03,,10.1016/j.stem.2024.04.006
919,28757434,Adrenal responses of large whales: Integrating fecal aldosterone as a complementary biomarker to glucocorticoids,"Burgess EA, Hunt KE, Kraus SD, Rolland RM.",Gen Comp Endocrinol. 2017 Oct 1;252:103-110. doi: 10.1016/j.ygcen.2017.07.026. Epub 2017 Jul 27.,Burgess EA,Gen Comp Endocrinol,2017,2017-08-01,,10.1016/j.ygcen.2017.07.026
920,38199129,Prenatal exposures to phthalates and life events stressors in relation to child behavior at age 4-6: A combined cohort analysis,"Barrett ES, Day DB, Szpiro A, Peng J, Loftus CT, Ziausyte U, Kannan K, Trasande L, Zhao Q, Nguyen RHN, Swan S, Karr CJ, LeWinn KZ, Sathyanarayana S, Bush NR.",Environ Int. 2024 Jan;183:108425. doi: 10.1016/j.envint.2024.108425. Epub 2024 Jan 4.,Barrett ES,Environ Int,2024,2024-01-10,PMC10863744,10.1016/j.envint.2024.108425
921,37020274,"Isha yoga practices, vegan diet, and participation in Samyama meditation retreat: impact on the gut microbiome & metabolome - a non-randomized trial","Raman M, Vishnubhotla R, Ramay HR, Gonçalves MCB, Shin AS, Pawale D, Subramaniam B, Sadhasivam S.",BMC Complement Med Ther. 2023 Apr 5;23(1):107. doi: 10.1186/s12906-023-03935-8.,Raman M,BMC Complement Med Ther,2023,2023-04-05,PMC10074366,10.1186/s12906-023-03935-8
922,36768506,Functional Characterization of the GNAT Family Histone Acetyltransferase Elp3 and GcnE in Aspergillus fumigatus,"Choi YH, Park SH, Kim SS, Lee MW, Yu JH, Shin KS.",Int J Mol Sci. 2023 Jan 22;24(3):2179. doi: 10.3390/ijms24032179.,Choi YH,Int J Mol Sci,2023,2023-02-11,PMC9916960,10.3390/ijms24032179
923,29143171,"Neonicotinoid insecticides in pollen, honey and adult bees in colonies of the European honey bee (Apis mellifera L.) in Egypt","Codling G, Naggar YA, Giesy JP, Robertson AJ.",Ecotoxicology. 2018 Mar;27(2):122-131. doi: 10.1007/s10646-017-1876-2. Epub 2017 Nov 15.,Codling G,Ecotoxicology,2018,2017-11-17,,10.1007/s10646-017-1876-2
924,29777687,"Physiological stress responses in wild Asian elephants Elephas maximus in a human-dominated landscape in the Western Ghats, southern India","Vijayakrishnan S, Kumar MA, Umapathy G, Kumar V, Sinha A.",Gen Comp Endocrinol. 2018 Sep 15;266:150-156. doi: 10.1016/j.ygcen.2018.05.009. Epub 2018 May 17.,Vijayakrishnan S,Gen Comp Endocrinol,2018,2018-05-20,,10.1016/j.ygcen.2018.05.009
925,32827982,Polycyclic aromatic compounds (PACs) in the Canadian environment: The challenges of ecological risk assessments,"Hodson PV, Wallace SJ, de Solla SR, Head SJ, Hepditch SLJ, Parrott JL, Thomas PJ, Berthiaume A, Langlois VS.",Environ Pollut. 2020 Nov;266(Pt 2):115165. doi: 10.1016/j.envpol.2020.115165. Epub 2020 Jul 9.,Hodson PV,Environ Pollut,2020,2020-08-23,,10.1016/j.envpol.2020.115165
926,10414778,The influence of various factors on immune toxicity assessment of pesticide chemicals,Banerjee BD.,Toxicol Lett. 1999 Jun 30;107(1-3):21-31. doi: 10.1016/s0378-4274(99)00028-4.,Banerjee BD,Toxicol Lett,1999,1999-07-22,,10.1016/s0378-4274(99)00028-4
927,2957606,The effects of footshock stress on regional brain dopamine metabolism and pituitary beta-endorphin release in rats previously sensitized to amphetamine,"Robinson TE, Becker JB, Young EA, Akil H, Castaneda E.",Neuropharmacology. 1987 Jul;26(7A):679-91. doi: 10.1016/0028-3908(87)90228-0.,Robinson TE,Neuropharmacology,1987,1987-07-01,,10.1016/0028-3908(87)90228-0
928,34757242,The microenvironment of ovarian follicles in fertile dairy cows is associated with high oocyte quality,"Reed CB, Meier S, Murray LA, Burke CR, Pitman JL.",Theriogenology. 2022 Jan 1;177:195-205. doi: 10.1016/j.theriogenology.2021.10.022. Epub 2021 Oct 19.,Reed CB,Theriogenology,2022,2021-11-10,,10.1016/j.theriogenology.2021.10.022
929,26478011,One size does not fit all: Monitoring faecal glucocorticoid metabolites in marsupials,"Fanson KV, Best EC, Bunce A, Fanson BG, Hogan LA, Keeley T, Narayan EJ, Palme R, Parrott ML, Sharp TM, Skogvold K, Tuthill L, Webster KN, Bashaw M.",Gen Comp Endocrinol. 2017 Apr 1;244:146-156. doi: 10.1016/j.ygcen.2015.10.011. Epub 2015 Oct 23.,Fanson KV,Gen Comp Endocrinol,2017,2015-10-20,,10.1016/j.ygcen.2015.10.011
930,25786212,Strategies for individual phenotyping of linoleic and arachidonic acid metabolism using an oral glucose tolerance test,"Saccenti E, van Duynhoven J, Jacobs DM, Smilde AK, Hoefsloot HC.",PLoS One. 2015 Mar 18;10(3):e0119856. doi: 10.1371/journal.pone.0119856. eCollection 2015.,Saccenti E,PLoS One,2015,2015-03-19,PMC4364740,10.1371/journal.pone.0119856
